Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.5720739364624023	0	23.6976744186	12.8035875854	66.0	10.0	23.6976744186	12.8035875854	1019	1019
0.8018643856048584	1	26.9736842105	14.5683269315	77.0	8.0	26.9736842105	14.5683269315	1025	2044
1.0219471454620361	2	21.6170212766	11.2600842586	53.0	9.0	21.6170212766	11.2600842586	1016	3060
1.250533103942871	3	29.25	14.6313495238	64.0	10.0	29.25	14.6313495238	1053	4113
1.4736173152923584	4	27.2432432432	15.0034327701	71.0	10.0	27.2432432432	15.0034327701	1008	5121
1.6929256916046143	5	28.8285714286	17.1805300339	87.0	11.0	28.8285714286	17.1805300339	1009	6130
1.9133143424987793	6	27.2972972973	18.1254858125	98.0	9.0	27.2972972973	18.1254858125	1010	7140
2.1374258995056152	7	39.0769230769	27.6418343443	126.0	11.0	39.0769230769	27.6418343443	1016	8156
2.362534999847412	8	43.4583333333	21.7389419527	101.0	13.0	43.4583333333	21.7389419527	1043	9199
2.586712121963501	9	33.0	13.3077711956	61.0	11.0	33.0	13.3077711956	1023	10222
2.8428080081939697	10	42.1071428571	35.0951149284	190.0	13.0	42.1071428571	35.0951149284	1179	11401
3.0679409503936768	11	45.4782608696	24.7313734305	125.0	11.0	45.4782608696	24.7313734305	1046	12447
3.2960708141326904	12	66.8125	51.7701877894	200.0	11.0	66.8125	51.7701877894	1069	13516
3.5198721885681152	13	50.6	21.57637597	114.0	26.0	50.6	21.57637597	1012	14528
3.7379398345947266	14	43.6956521739	21.874016316	116.0	13.0	43.6956521739	21.874016316	1005	15533
3.9681859016418457	15	63.0588235294	34.2456018442	140.0	17.0	63.0588235294	34.2456018442	1072	16605
4.188544750213623	16	42.0416666667	14.5444123482	71.0	16.0	42.0416666667	14.5444123482	1009	17614
4.414130210876465	17	60.7058823529	28.1921238602	116.0	27.0	60.7058823529	28.1921238602	1032	18646
4.6352128982543945	18	50.6	20.0134954468	113.0	25.0	50.6	20.0134954468	1012	19658
4.856782913208008	19	59.5294117647	25.7684660162	131.0	24.0	59.5294117647	25.7684660162	1012	20670
5.078955888748169	20	57.6666666667	28.0851878715	116.0	17.0	57.6666666667	28.0851878715	1038	21708
5.29936671257019	21	92.7272727273	48.1136739382	182.0	34.0	92.7272727273	48.1136739382	1020	22728
5.526452541351318	22	56.2222222222	26.7842315874	125.0	29.0	56.2222222222	26.7842315874	1012	23740
5.760040521621704	23	55.7368421053	26.4850347123	122.0	11.0	55.7368421053	26.4850347123	1059	24799
5.984189987182617	24	60.4117647059	27.2872709465	129.0	29.0	60.4117647059	27.2872709465	1027	25826
6.217370271682739	25	59.4444444444	24.2079468637	111.0	30.0	59.4444444444	24.2079468637	1070	26896
6.4397218227386475	26	63.0	34.020214579	133.0	20.0	63.0	34.020214579	1008	27904
6.665578842163086	27	55.0526315789	23.4912608257	103.0	20.0	55.0526315789	23.4912608257	1046	28950
6.894608974456787	28	80.0	30.8170781823	141.0	33.0	80.0	30.8170781823	1040	29990
7.115507364273071	29	60.0588235294	21.8375569314	122.0	30.0	60.0588235294	21.8375569314	1021	31011
7.335089921951294	30	67.6	33.2842305003	129.0	17.0	67.6	33.2842305003	1014	32025
7.565591335296631	31	61.0	24.6815005741	111.0	23.0	61.0	24.6815005741	1037	33062
7.801766633987427	32	63.1176470588	22.8444416021	125.0	31.0	63.1176470588	22.8444416021	1073	34135
8.02435040473938	33	67.4	37.698452665	149.0	30.0	67.4	37.698452665	1011	35146
8.25443720817566	34	74.5714285714	31.7371217655	157.0	31.0	74.5714285714	31.7371217655	1044	36190
8.479580402374268	35	78.5384615385	37.3355169832	148.0	23.0	78.5384615385	37.3355169832	1021	37211
8.717169523239136	36	72.4	37.0941145377	147.0	22.0	72.4	37.0941145377	1086	38297
8.939253091812134	37	63.0	37.4699879904	174.0	24.0	63.0	37.4699879904	1008	39305
9.171509981155396	38	56.0526315789	24.6672032085	132.0	21.0	56.0526315789	24.6672032085	1065	40370
9.395594120025635	39	56.9444444444	19.4178389409	95.0	29.0	56.9444444444	19.4178389409	1025	41395
9.625418186187744	40	65.0625	25.2053286777	130.0	30.0	65.0625	25.2053286777	1041	42436
9.872511148452759	41	81.5	29.4369786881	143.0	41.0	81.5	29.4369786881	1141	43577
10.098395109176636	42	64.6875	20.0147406616	110.0	36.0	64.6875	20.0147406616	1035	44612
10.344629287719727	43	70.875	29.5822476327	140.0	32.0	70.875	29.5822476327	1134	45746
10.566615104675293	44	56.5	17.4459482721	96.0	30.0	56.5	17.4459482721	1017	46763
10.81380319595337	45	81.6428571429	32.552391053	144.0	26.0	81.6428571429	32.552391053	1143	47906
11.04288935661316	46	95.4545454545	29.5092085361	155.0	55.0	95.4545454545	29.5092085361	1050	48956
11.295812129974365	47	72.75	37.122264209	200.0	44.0	72.75	37.122264209	1164	50120
11.531478881835938	48	71.2666666667	32.3119516932	133.0	23.0	71.2666666667	32.3119516932	1069	51189
11.763152360916138	49	66.25	32.2868007086	147.0	20.0	66.25	32.2868007086	1060	52249
11.989737510681152	50	74.4285714286	39.1292990075	159.0	33.0	74.4285714286	39.1292990075	1042	53291
12.212225198745728	51	72.5714285714	30.6634130188	117.0	23.0	72.5714285714	30.6634130188	1016	54307
12.440811395645142	52	65.125	22.6215466978	106.0	26.0	65.125	22.6215466978	1042	55349
12.662394762039185	53	79.2307692308	48.946051693	184.0	22.0	79.2307692308	48.946051693	1030	56379
