Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
2.8267149925231934	0	49.7142857143	8.5420130177	69.0	37.0	49.7142857143	8.5420130177	1044	1044
3.5285089015960693	1	40.32	6.25280736949	53.0	31.0	40.32	6.25280736949	1008	2052
3.91552734375	2	40.64	3.87690598287	48.0	33.0	40.64	3.87690598287	1016	3068
4.30669379234314	3	46.5	5.05200230332	59.0	39.0	46.5	5.05200230332	1023	4091
4.702749729156494	4	75.4285714286	20.2826959525	117.0	50.0	75.4285714286	20.2826959525	1056	5147
5.094865560531616	5	95.3636363636	21.0595377972	127.0	69.0	95.3636363636	21.0595377972	1049	6196
5.478509187698364	6	72.9285714286	5.7751225802	85.0	65.0	72.9285714286	5.7751225802	1021	7217
5.888837814331055	7	69.7333333333	3.21385887819	78.0	65.0	69.7333333333	3.21385887819	1046	8263
6.281104803085327	8	69.3333333333	3.4960294939	75.0	63.0	69.3333333333	3.4960294939	1040	9303
6.67728853225708	9	70.4	2.82370914461	76.0	66.0	70.4	2.82370914461	1056	10359
7.078770160675049	10	76.5	2.97008898376	81.0	72.0	76.5	2.97008898376	1071	11430
7.472174882888794	11	80.6923076923	1.7269187939	84.0	78.0	80.6923076923	1.7269187939	1049	12479
7.852359056472778	12	84.1666666667	1.34370962472	87.0	82.0	84.1666666667	1.34370962472	1010	13489
8.247007608413696	13	87.5833333333	2.05986784905	92.0	85.0	87.5833333333	2.05986784905	1051	14540
8.626448631286621	14	91.9090909091	1.88074189687	95.0	89.0	91.9090909091	1.88074189687	1011	15551
9.019949674606323	15	96.0909090909	2.3914448069	101.0	93.0	96.0909090909	2.3914448069	1057	16608
9.409038305282593	16	104.0	2.2360679775	107.0	101.0	104.0	2.2360679775	1040	17648
9.815505266189575	17	121.222222222	1.81216738114	124.0	119.0	121.222222222	1.81216738114	1091	18739
10.23457407951355	18	124.444444444	1.06574033851	126.0	123.0	124.444444444	1.06574033851	1120	19859
10.611587524414062	19	126.625	1.31695671911	129.0	125.0	126.625	1.31695671911	1013	20872
10.991258144378662	20	128.25	1.39194109071	131.0	127.0	128.25	1.39194109071	1026	21898
11.381095886230469	21	131.25	1.5612494996	134.0	129.0	131.25	1.5612494996	1050	22948
11.77332353591919	22	132.75	1.19895788083	135.0	131.0	132.75	1.19895788083	1062	24010
12.173495054244995	23	134.375	0.992156741649	136.0	133.0	134.375	0.992156741649	1075	25085
12.580549240112305	24	136.875	2.20439901107	141.0	134.0	136.875	2.20439901107	1095	26180
12.992109298706055	25	139.625	1.57619002661	142.0	137.0	139.625	1.57619002661	1117	27297
13.374361753463745	26	144.142857143	7.39553091745	161.0	139.0	144.142857143	7.39553091745	1009	28306
13.760010719299316	27	146.714285714	4.16496563918	155.0	141.0	146.714285714	4.16496563918	1027	29333
14.179780006408691	28	160.571428571	8.3641606676	168.0	143.0	160.571428571	8.3641606676	1124	30457
14.552532196044922	29	166.833333333	1.57233018868	170.0	165.0	166.833333333	1.57233018868	1001	31458
14.950819253921509	30	153.714285714	1.16057691495	156.0	153.0	153.714285714	1.16057691495	1076	32534
15.345967769622803	31	152.285714286	0.699854212224	153.0	151.0	152.285714286	0.699854212224	1066	33600
15.7392098903656	32	152.571428571	1.39970842445	155.0	151.0	152.571428571	1.39970842445	1068	34668
16.130565881729126	33	150.285714286	5.92125193602	154.0	136.0	150.285714286	5.92125193602	1052	35720
16.523750066757202	34	152.0	0.925820099773	154.0	151.0	152.0	0.925820099773	1064	36784
16.913896083831787	35	150.0	6.61167798023	154.0	134.0	150.0	6.61167798023	1050	37834
17.31109094619751	36	151.714285714	1.16057691495	154.0	150.0	151.714285714	1.16057691495	1062	38896
17.697868824005127	37	149.142857143	6.31163486696	154.0	134.0	149.142857143	6.31163486696	1044	39940
18.086453437805176	38	146.285714286	8.42978199539	152.0	133.0	146.285714286	8.42978199539	1024	40964
18.45830512046814	39	143.428571429	8.49969987465	151.0	132.0	143.428571429	8.49969987465	1004	41968
18.880963802337646	40	143.75	9.12071817348	152.0	132.0	143.75	9.12071817348	1150	43118
19.29813289642334	41	141.0	9.3139680051	152.0	131.0	141.0	9.3139680051	1128	44246
19.707202672958374	42	137.75	8.99652710772	150.0	130.0	137.75	8.99652710772	1102	45348
20.115802526474	43	137.125	9.79078010171	150.0	128.0	137.125	9.79078010171	1097	46445
20.520261764526367	44	130.25	1.19895788083	132.0	128.0	130.25	1.19895788083	1042	47487
20.902748823165894	45	129.25	1.39194109071	132.0	127.0	129.25	1.39194109071	1034	48521
21.28336453437805	46	128.625	1.4086784587	131.0	127.0	128.625	1.4086784587	1029	49550
21.666508674621582	47	129.0	1.5	131.0	126.0	129.0	1.5	1032	50582
22.049152612686157	48	128.875	1.16592238164	131.0	127.0	128.875	1.16592238164	1031	51613
22.437360048294067	49	130.25	7.2240916384	149.0	125.0	130.25	7.2240916384	1042	52655
22.846294164657593	50	137.625	10.4395581803	150.0	127.0	137.625	10.4395581803	1101	53756
23.232439517974854	51	130.125	6.60373947094	147.0	125.0	130.125	6.60373947094	1041	54797
23.620365858078003	52	130.75	8.99652710772	147.0	124.0	130.75	8.99652710772	1046	55843
24.005213737487793	53	129.875	7.3218423228	149.0	125.0	129.875	7.3218423228	1039	56882
24.47462558746338	54	137.875	9.18473597879	149.0	128.0	137.875	9.18473597879	1103	57985
24.88132381439209	55	137.0	10.295630141	151.0	125.0	137.0	10.295630141	1096	59081
