Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
5.2555506229400635	0	-122.241037397	38.6109880016	-29.713309923	-241.654172314	151.0	0.0	10117	10117
9.701855659484863	1	-116.245038356	41.9305395905	14.3680614699	-225.466130472	151.0	0.0	10117	20234
14.164540529251099	2	-141.04919629	48.1748405306	5.85128171178	-291.895415278	151.0	0.0	10117	30351
18.594653129577637	3	-162.036903267	38.6879558393	-75.7236248949	-257.37637335	151.0	0.0	10117	40468
23.0269718170166	4	-191.789944749	39.5439148941	-23.4108486809	-287.282128289	151.0	0.0	10117	50585
27.469475030899048	5	-208.282927668	37.0083739526	-127.245552627	-335.281302524	151.0	0.0	10117	60702
31.89936137199402	6	-210.997757821	32.2058072901	-120.353598747	-282.674196386	151.0	0.0	10117	70819
36.340065717697144	7	-231.217929745	43.7901201982	-99.3775500685	-362.734440334	151.0	0.0	10117	80936
40.807634592056274	8	-252.910637899	44.0016431414	-167.443339431	-358.184468499	151.0	0.0	10117	91053
45.284226179122925	9	-263.589471115	47.8041929851	-160.155078816	-390.984903858	151.0	0.0	10117	101170
49.744988441467285	10	-272.302065621	42.3343331632	-161.74449731	-380.029067287	151.0	0.0	10117	111287
