Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
1.4819207191467285	0	22.9587155963	12.8881263256	89.0	9.0	22.9587155963	12.8881263256	5005	5005
2.6188604831695557	1	27.9944134078	17.702538153	103.0	9.0	27.9944134078	17.702538153	5011	10016
3.7508270740509033	2	31.30625	17.8129155653	104.0	10.0	31.30625	17.8129155653	5009	15025
4.895761728286743	3	35.5957446809	24.2425622793	149.0	10.0	35.5957446809	24.2425622793	5019	20044
6.054686546325684	4	39.28125	27.805107866	171.0	11.0	39.28125	27.805107866	5028	25072
7.198692083358765	5	37.552238806	20.8943922935	129.0	11.0	37.552238806	20.8943922935	5032	30104
8.347601175308228	6	40.4677419355	24.0098889183	121.0	14.0	40.4677419355	24.0098889183	5018	35122
9.525083780288696	7	49.5544554455	30.7111987339	148.0	10.0	49.5544554455	30.7111987339	5005	40127
10.69757080078125	8	48.3653846154	30.1980824953	200.0	11.0	48.3653846154	30.1980824953	5030	45157
11.863868951797485	9	50.5454545455	25.5901151715	174.0	13.0	50.5454545455	25.5901151715	5004	50161
13.039030075073242	10	53.2765957447	33.2231027844	171.0	10.0	53.2765957447	33.2231027844	5008	55169
14.254566669464111	11	59.0804597701	33.0374981626	173.0	13.0	59.0804597701	33.0374981626	5140	60309
15.427499771118164	12	53.8494623656	30.165474189	200.0	14.0	53.8494623656	30.165474189	5008	65317
16.616203784942627	13	64.2051282051	35.2396043861	161.0	18.0	64.2051282051	35.2396043861	5008	70325
