Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
2.106832981109619	0	-186.174367348	6.26797696603	-175.461387264	-193.684297629	151.0	0.0	1057	1057
2.7311441898345947	1	-189.057067075	13.3998689332	-166.448417361	-207.24656114	151.0	0.0	1057	2114
3.2553417682647705	2	-189.542921589	14.926372627	-166.763572463	-209.184817321	151.0	0.0	1057	3171
3.7817530632019043	3	-204.482727045	10.8768395205	-184.72850203	-221.034921581	151.0	0.0	1057	4228
4.3106489181518555	4	-213.099576242	5.02381961366	-205.070253787	-221.517588161	151.0	0.0	1057	5285
4.833343505859375	5	-218.130040366	17.7430320096	-188.69230155	-238.051452179	151.0	0.0	1057	6342
5.3595850467681885	6	-215.897941956	15.3004492234	-190.082662885	-236.354424066	151.0	0.0	1057	7399
5.886205196380615	7	-219.393584227	9.67262935296	-202.494453206	-235.158550511	151.0	0.0	1057	8456
