Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
1.1921212673187256	0	25.15	11.7591453771	51.0	9.0	25.15	11.7591453771	1006	1006
2.0611393451690674	1	27.4864864865	17.0224361035	87.0	10.0	27.4864864865	17.0224361035	1017	2023
2.9216933250427246	2	28.9428571429	17.5774902436	86.0	8.0	28.9428571429	17.5774902436	1013	3036
3.7801737785339355	3	38.8461538462	29.0777370663	147.0	10.0	38.8461538462	29.0777370663	1010	4046
4.639101982116699	4	31.65625	16.3049252049	74.0	11.0	31.65625	16.3049252049	1013	5059
5.515638589859009	5	41.44	21.5222303677	98.0	15.0	41.44	21.5222303677	1036	6095
6.40209174156189	6	49.7619047619	38.7456968571	171.0	13.0	49.7619047619	38.7456968571	1045	7140
7.326787948608398	7	51.7142857143	42.0250977814	200.0	14.0	51.7142857143	42.0250977814	1086	8226
8.209214210510254	8	49.1904761905	27.6123144502	136.0	14.0	49.1904761905	27.6123144502	1033	9259
9.091737270355225	9	53.8421052632	22.3000192539	101.0	12.0	53.8421052632	22.3000192539	1023	10282
9.960299015045166	10	53.7894736842	28.6146428238	122.0	20.0	53.7894736842	28.6146428238	1022	11304
10.865636825561523	11	62.7058823529	32.0363115779	149.0	15.0	62.7058823529	32.0363115779	1066	12370
11.716138124465942	12	52.9473684211	26.9960497777	109.0	17.0	52.9473684211	26.9960497777	1006	13376
12.56736445426941	13	52.7894736842	24.165174915	100.0	23.0	52.7894736842	24.165174915	1003	14379
13.444166898727417	14	57.5555555556	20.3257423596	107.0	26.0	57.5555555556	20.3257423596	1036	15415
14.314281702041626	15	59.6470588235	23.1718418788	108.0	21.0	59.6470588235	23.1718418788	1014	16429
15.169884204864502	16	55.8333333333	27.8652511602	104.0	13.0	55.8333333333	27.8652511602	1005	17434
16.037972450256348	17	63.75	30.7235658738	157.0	20.0	63.75	30.7235658738	1020	18454
16.917258262634277	18	51.5	19.7699266564	94.0	22.0	51.5	19.7699266564	1030	19484
17.81563711166382	19	55.6842105263	19.2737963146	92.0	28.0	55.6842105263	19.2737963146	1058	20542
18.727697372436523	20	56.6842105263	23.4364822032	121.0	21.0	56.6842105263	23.4364822032	1077	21619
19.58484649658203	21	59.4117647059	27.7723070353	150.0	31.0	59.4117647059	27.7723070353	1010	22629
20.443235397338867	22	51.0	22.6141548593	133.0	24.0	51.0	22.6141548593	1020	23649
21.321731090545654	23	57.6666666667	15.8254366273	90.0	33.0	57.6666666667	15.8254366273	1038	24687
22.210532665252686	24	52.35	15.3436468937	90.0	27.0	52.35	15.3436468937	1047	25734
23.067317485809326	25	59.5882352941	24.9612849017	112.0	30.0	59.5882352941	24.9612849017	1013	26747
23.91233491897583	26	62.625	24.999687498	138.0	33.0	62.625	24.999687498	1002	27749
24.805625915527344	27	61.8235294118	25.1962539095	138.0	30.0	61.8235294118	25.1962539095	1051	28800
25.69296145439148	28	61.3529411765	18.8553040641	93.0	34.0	61.3529411765	18.8553040641	1043	29843
26.54804229736328	29	56.2222222222	15.0611920568	83.0	32.0	56.2222222222	15.0611920568	1012	30855
27.39938521385193	30	71.8571428571	34.7210457851	169.0	35.0	71.8571428571	34.7210457851	1006	31861
28.287458658218384	31	57.9444444444	16.3349394524	92.0	27.0	57.9444444444	16.3349394524	1043	32904
29.18263030052185	32	66.0625	33.2950235583	147.0	29.0	66.0625	33.2950235583	1057	33961
30.054704666137695	33	73.3571428571	29.3223638271	138.0	38.0	73.3571428571	29.3223638271	1027	34988
30.949300050735474	34	81.2307692308	43.3911615356	200.0	35.0	81.2307692308	43.3911615356	1056	36044
31.81520700454712	35	63.6875	19.9553211888	98.0	40.0	63.6875	19.9553211888	1019	37063
32.69531750679016	36	69.2666666667	24.2939407169	126.0	41.0	69.2666666667	24.2939407169	1039	38102
33.61576724052429	37	67.75	18.2019916493	111.0	38.0	67.75	18.2019916493	1084	39186
34.54814410209656	38	73.4666666667	23.3748202607	122.0	48.0	73.4666666667	23.3748202607	1102	40288
35.3946967124939	39	62.625	11.5101857066	84.0	44.0	62.625	11.5101857066	1002	41290
36.330613136291504	40	82.6923076923	24.8917181636	136.0	50.0	82.6923076923	24.8917181636	1075	42365
37.29191517829895	41	70.8	22.8274688333	120.0	47.0	70.8	22.8274688333	1062	43427
38.228508949279785	42	73.9285714286	23.4900109035	138.0	39.0	73.9285714286	23.4900109035	1035	44462
39.16687488555908	43	79.7692307692	27.8572013784	155.0	46.0	79.7692307692	27.8572013784	1037	45499
40.09343457221985	44	79.5384615385	20.5411983195	128.0	54.0	79.5384615385	20.5411983195	1034	46533
41.05082082748413	45	82.2307692308	30.7774988891	153.0	45.0	82.2307692308	30.7774988891	1069	47602
42.0133957862854	46	72.8	20.0139951034	115.0	40.0	72.8	20.0139951034	1092	48694
