Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
1.1334266662597656	0	44.6086956522	9.65374057008	63.0	33.0	44.6086956522	9.65374057008	1026	1026
1.4665522575378418	1	30.5454545455	5.52729266344	44.0	24.0	30.5454545455	5.52729266344	1008	2034
1.7916741371154785	2	35.724137931	10.1739916953	57.0	25.0	35.724137931	10.1739916953	1036	3070
2.1119697093963623	3	38.037037037	8.66872403564	61.0	28.0	38.037037037	8.66872403564	1027	4097
2.440093994140625	4	32.21875	7.02999988887	52.0	23.0	32.21875	7.02999988887	1031	5128
2.7642159461975098	5	29.4	8.87758010786	61.0	21.0	29.4	8.87758010786	1029	6157
3.085336923599243	6	27.2972972973	5.51099571552	43.0	20.0	27.2972972973	5.51099571552	1010	7167
3.408745765686035	7	31.6875	7.76787253693	53.0	22.0	31.6875	7.76787253693	1014	8181
3.732867956161499	8	26.5526315789	4.74451133539	46.0	20.0	26.5526315789	4.74451133539	1009	9190
4.052988290786743	9	25.9743589744	8.7778485171	68.0	18.0	25.9743589744	8.7778485171	1013	10203
4.378111124038696	10	23.6511627907	4.49746037345	35.0	16.0	23.6511627907	4.49746037345	1017	11220
4.733244180679321	11	23.9285714286	6.19290245493	48.0	17.0	23.9285714286	6.19290245493	1005	12225
5.058366298675537	12	23.0	5.83095189485	40.0	17.0	23.0	5.83095189485	1012	13237
5.379487752914429	13	22.2444444444	5.87709510843	47.0	17.0	22.2444444444	5.87709510843	1001	14238
5.710564851760864	14	22.1086956522	4.97921008608	38.0	16.0	22.1086956522	4.97921008608	1017	15255
6.0376880168914795	15	20.22	3.59605339226	32.0	15.0	20.22	3.59605339226	1011	16266
6.364810943603516	16	21.8913043478	3.65482564189	31.0	17.0	21.8913043478	3.65482564189	1007	17273
6.68993353843689	17	21.7608695652	5.36163822551	36.0	15.0	21.7608695652	5.36163822551	1001	18274
7.013055086135864	18	21.8695652174	4.89280170318	35.0	16.0	21.8695652174	4.89280170318	1006	19280
7.342658281326294	19	21.2291666667	6.0733008026	39.0	14.0	21.2291666667	6.0733008026	1019	20299
7.674783229827881	20	19.9411764706	4.01668951929	31.0	14.0	19.9411764706	4.01668951929	1017	21316
8.004907608032227	21	18.8703703704	5.21410585459	40.0	14.0	18.8703703704	5.21410585459	1019	22335
8.335143566131592	22	18.8518518519	3.37423465894	31.0	15.0	18.8518518519	3.37423465894	1018	23353
8.670190334320068	23	18.5090909091	3.5413029306	27.0	14.0	18.5090909091	3.5413029306	1018	24371
8.997313022613525	24	18.6666666667	3.43187671366	29.0	14.0	18.6666666667	3.43187671366	1008	25379
9.329438209533691	25	18.5454545455	2.97148987313	25.0	14.0	18.5454545455	2.97148987313	1020	26399
9.659562349319458	26	18.9056603774	2.92848180735	26.0	15.0	18.9056603774	2.92848180735	1002	27401
9.987002611160278	27	21.6382978723	5.69966602947	38.0	15.0	21.6382978723	5.69966602947	1017	28418
10.309006690979004	28	22.8409090909	6.07133047355	40.0	16.0	22.8409090909	6.07133047355	1005	29423
10.640130519866943	29	23.9047619048	4.88832196259	36.0	17.0	23.9047619048	4.88832196259	1004	30427
10.96177887916565	30	23.9285714286	4.91059523665	38.0	18.0	23.9285714286	4.91059523665	1005	31432
11.285901069641113	31	24.8780487805	7.3058450437	60.0	17.0	24.8780487805	7.3058450437	1020	32452
11.61902642250061	32	23.9302325581	6.67656557317	50.0	17.0	23.9302325581	6.67656557317	1029	33481
11.941148042678833	33	23.488372093	6.59588346965	51.0	17.0	23.488372093	6.59588346965	1010	34491
12.263268947601318	34	23.4418604651	4.22782766574	36.0	18.0	23.4418604651	4.22782766574	1008	35499
12.592392683029175	35	24.2380952381	5.15848595271	43.0	18.0	24.2380952381	5.15848595271	1018	36517
12.917261123657227	36	23.2045454545	5.91830575209	45.0	16.0	23.2045454545	5.91830575209	1021	37538
13.240383386611938	37	21.9347826087	5.75364600441	40.0	16.0	21.9347826087	5.75364600441	1009	38547
13.571633100509644	38	20.18	4.30669246638	36.0	15.0	20.18	4.30669246638	1009	39556
13.897151708602905	39	20.4897959184	5.72542645762	38.0	14.0	20.4897959184	5.72542645762	1004	40560
14.2222740650177	40	18.9056603774	4.39237826559	42.0	14.0	18.9056603774	4.39237826559	1002	41562
14.552581548690796	41	18.3636363636	3.08287726506	28.0	13.0	18.3636363636	3.08287726506	1010	42572
14.882705926895142	42	16.7	2.45153013443	25.0	13.0	16.7	2.45153013443	1002	43574
15.214830875396729	43	15.9841269841	2.05087719128	21.0	13.0	15.9841269841	2.05087719128	1007	44581
15.550957441329956	44	15.765625	2.03671140797	20.0	13.0	15.765625	2.03671140797	1009	45590
15.886083364486694	45	14.8676470588	1.55208030952	19.0	12.0	14.8676470588	1.55208030952	1011	46601
16.218836784362793	46	14.7794117647	1.80559252321	20.0	12.0	14.7794117647	1.80559252321	1005	47606
16.55996537208557	47	14.3285714286	1.6276313076	18.0	12.0	14.3285714286	1.6276313076	1003	48609
16.899962663650513	48	13.7260273973	1.60700754806	18.0	11.0	13.7260273973	1.60700754806	1002	49611
17.23808979988098	49	13.3157894737	1.24826749743	17.0	11.0	13.3157894737	1.24826749743	1012	50623
17.72227191925049	50	12.8333333333	1.29512564153	16.0	11.0	12.8333333333	1.29512564153	1001	51624
18.063600301742554	51	12.5875	1.17997616501	15.0	11.0	12.5875	1.17997616501	1007	52631
18.40272808074951	52	12.4938271605	1.01984574953	15.0	10.0	12.4938271605	1.01984574953	1012	53643
