Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
1.32891845703125	0	38.5384615385	7.58150974021	63.0	30.0	38.5384615385	7.58150974021	1002	1002
1.6798367500305176	1	38.1111111111	10.1883496768	77.0	28.0	38.1111111111	10.1883496768	1029	2031
2.0056405067443848	2	47.8571428571	12.4452542658	84.0	32.0	47.8571428571	12.4452542658	1005	3036
2.3378565311431885	3	55.0	10.3517097494	84.0	39.0	55.0	10.3517097494	1045	4081
2.662140130996704	4	56.2777777778	10.1313899209	84.0	45.0	56.2777777778	10.1313899209	1013	5094
3.0064806938171387	5	56.4736842105	10.879088686	83.0	42.0	56.4736842105	10.879088686	1073	6167
3.336559295654297	6	51.6	6.93829950348	66.0	42.0	51.6	6.93829950348	1032	7199
3.668531894683838	7	51.4	6.2880839689	63.0	42.0	51.4	6.2880839689	1028	8227
3.991081714630127	8	53.3684210526	4.80362282489	60.0	45.0	53.3684210526	4.80362282489	1014	9241
4.3360395431518555	9	55.6842105263	6.32499329377	63.0	46.0	55.6842105263	6.32499329377	1058	10299
4.678448438644409	10	62.2352941176	8.05517306759	79.0	52.0	62.2352941176	8.05517306759	1058	11357
5.015735387802124	11	92.7272727273	27.2299664778	156.0	66.0	92.7272727273	27.2299664778	1020	12377
5.355262756347656	12	91.5454545455	21.236176836	137.0	67.0	91.5454545455	21.236176836	1007	13384
5.692349433898926	13	73.7142857143	8.84330716602	88.0	59.0	73.7142857143	8.84330716602	1032	14416
6.035832405090332	14	66.875	5.75407464324	77.0	58.0	66.875	5.75407464324	1070	15486
6.505319118499756	15	76.2142857143	10.7582431613	98.0	63.0	76.2142857143	10.7582431613	1067	16553
6.833087921142578	16	91.5454545455	17.793582277	121.0	64.0	91.5454545455	17.793582277	1007	17560
7.1834094524383545	17	96.0	32.2687577584	184.0	68.0	96.0	32.2687577584	1056	18616
7.515264511108398	18	100.1	40.1408769212	210.0	68.0	100.1	40.1408769212	1001	19617
7.839585781097412	19	68.0	15.161354381	116.0	54.0	68.0	15.161354381	1020	20637
8.16110372543335	20	51.2	5.16333225737	61.0	44.0	51.2	5.16333225737	1024	21661
8.48014521598816	21	45.5909090909	4.48896719149	54.0	39.0	45.5909090909	4.48896719149	1003	22664
8.81206488609314	22	43.125	3.60916079812	51.0	38.0	43.125	3.60916079812	1035	23699
9.134931802749634	23	45.5	4.85002343012	52.0	37.0	45.5	4.85002343012	1001	24700
9.46458911895752	24	51.7	7.16309988762	68.0	42.0	51.7	7.16309988762	1034	25734
9.794043779373169	25	72.1428571429	24.0025508848	141.0	49.0	72.1428571429	24.0025508848	1010	26744
10.122961282730103	26	72.8571428571	19.1006998483	121.0	53.0	72.8571428571	19.1006998483	1020	27764
10.458309173583984	27	73.8571428571	18.9806561036	116.0	52.0	73.8571428571	18.9806561036	1034	28798
10.805487155914307	28	76.3571428571	29.7696085268	151.0	49.0	76.3571428571	29.7696085268	1069	29867
11.139498472213745	29	73.2142857143	27.459524945	152.0	54.0	73.2142857143	27.459524945	1025	30892
11.508487939834595	30	93.0833333333	31.2101968736	181.0	62.0	93.0833333333	31.2101968736	1117	32009
11.853533744812012	31	94.2727272727	15.3450667767	123.0	77.0	94.2727272727	15.3450667767	1037	33046
12.206608772277832	32	116.888888889	36.3484508135	209.0	76.0	116.888888889	36.3484508135	1052	34098
12.53169846534729	33	77.6153846154	7.91822106613	91.0	68.0	77.6153846154	7.91822106613	1009	35107
12.872327089309692	34	74.1428571429	6.46813224153	89.0	66.0	74.1428571429	6.46813224153	1038	36145
13.202951669692993	35	77.6923076923	6.67238413606	87.0	67.0	77.6923076923	6.67238413606	1010	37155
13.53058385848999	36	77.2307692308	5.50739148298	84.0	68.0	77.2307692308	5.50739148298	1004	38159
13.867702722549438	37	79.7692307692	3.72422105751	86.0	72.0	79.7692307692	3.72422105751	1037	39196
