Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
1.146977186203003	0	42.0416666667	8.55608539124	64.0	33.0	42.0416666667	8.55608539124	1009	1009
1.4701898097991943	1	36.6428571429	9.76953824656	59.0	25.0	36.6428571429	9.76953824656	1026	2035
1.7774736881256104	2	36.3928571429	8.04158515697	55.0	27.0	36.3928571429	8.04158515697	1019	3054
2.095095634460449	3	34.6	6.21074338009	48.0	26.0	34.6	6.21074338009	1038	4092
2.408487319946289	4	34.8275862069	10.1610105577	73.0	26.0	34.8275862069	10.1610105577	1010	5102
2.723391532897949	5	34.3	9.12925699788	60.0	24.0	34.3	9.12925699788	1029	6131
3.029874563217163	6	31.46875	6.30468265954	54.0	24.0	31.46875	6.30468265954	1007	7138
3.3468315601348877	7	29.7058823529	7.09817462768	54.0	21.0	29.7058823529	7.09817462768	1010	8148
3.66021990776062	8	28.3055555556	6.5609088312	45.0	19.0	28.3055555556	6.5609088312	1019	9167
3.9744327068328857	9	28.4444444444	11.5745036957	77.0	19.0	28.4444444444	11.5745036957	1024	10191
4.297903776168823	10	25.75	4.48190807581	39.0	20.0	25.75	4.48190807581	1030	11221
4.615788459777832	11	26.8157894737	9.00542311218	59.0	19.0	26.8157894737	9.00542311218	1019	12240
4.931926727294922	12	23.5581395349	6.17685976356	50.0	17.0	23.5581395349	6.17685976356	1013	13253
5.2510459423065186	13	24.6829268293	6.35317867202	46.0	17.0	24.6829268293	6.35317867202	1012	14265
5.568665981292725	14	23.9534883721	6.96487362236	53.0	17.0	23.9534883721	6.96487362236	1030	15295
5.884141445159912	15	22.9545454545	5.1608427142	48.0	17.0	22.9545454545	5.1608427142	1010	16305
6.205836057662964	16	23.1136363636	6.22391249753	46.0	17.0	23.1136363636	6.22391249753	1017	17322
6.521954774856567	17	24.2142857143	5.38753284947	44.0	17.0	24.2142857143	5.38753284947	1017	18339
7.034147262573242	18	26.3421052632	8.64284406099	55.0	18.0	26.3421052632	8.64284406099	1001	19340
