Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.510706901550293	0	27.5135135135	15.6025320565	62.0	12.0	27.5135135135	15.6025320565	1018	1018
0.7148165702819824	1	24.023255814	15.2414495619	90.0	10.0	24.023255814	15.2414495619	1033	2051
0.9091613292694092	2	21.847826087	11.2481252376	60.0	9.0	21.847826087	11.2481252376	1005	3056
1.1032335758209229	3	23.880952381	14.3031837631	59.0	9.0	23.880952381	14.3031837631	1003	4059
1.2973065376281738	4	17.8928571429	7.80494021993	46.0	9.0	17.8928571429	7.80494021993	1002	5061
1.4926371574401855	5	20.24	9.95099994975	52.0	9.0	20.24	9.95099994975	1012	6073
1.6871733665466309	6	20.5306122449	12.5569755243	70.0	9.0	20.5306122449	12.5569755243	1006	7079
1.8850371837615967	7	18.2909090909	7.87094248087	46.0	10.0	18.2909090909	7.87094248087	1006	8085
2.079338788986206	8	19.7254901961	8.81193137534	52.0	9.0	19.7254901961	8.81193137534	1006	9091
2.27482008934021	9	18.3636363636	8.4495586466	43.0	9.0	18.3636363636	8.4495586466	1010	10101
2.4675965309143066	10	16.1774193548	6.08945199491	35.0	8.0	16.1774193548	6.08945199491	1003	11104
2.661682367324829	11	16.1451612903	6.30116930826	40.0	9.0	16.1451612903	6.30116930826	1001	12105
2.8564138412475586	12	16.7666666667	6.81020476116	41.0	9.0	16.7666666667	6.81020476116	1006	13111
3.057173490524292	13	17.9824561404	8.84662930769	52.0	8.0	17.9824561404	8.84662930769	1025	14136
3.2514007091522217	14	17.1355932203	9.52865015627	53.0	9.0	17.1355932203	9.52865015627	1011	15147
3.4474740028381348	15	16.7166666667	7.98768148811	53.0	9.0	16.7166666667	7.98768148811	1003	16150
3.665055751800537	16	15.4615384615	7.65019240196	58.0	8.0	15.4615384615	7.65019240196	1005	17155
3.8611600399017334	17	15.734375	6.46442714859	39.0	9.0	15.734375	6.46442714859	1007	18162
4.0550696849823	18	14.3428571429	5.74676483967	39.0	8.0	14.3428571429	5.74676483967	1004	19166
4.250857830047607	19	15.3939393939	6.2930427864	36.0	8.0	15.3939393939	6.2930427864	1016	20182
4.4459309577941895	20	14.4714285714	5.84983865119	40.0	8.0	14.4714285714	5.84983865119	1013	21195
4.643736362457275	21	15.3484848485	5.93778967202	34.0	9.0	15.3484848485	5.93778967202	1013	22208
4.840122938156128	22	15.2727272727	5.55562901696	31.0	8.0	15.2727272727	5.55562901696	1008	23216
5.037696599960327	23	15.0294117647	5.31360791419	34.0	8.0	15.0294117647	5.31360791419	1022	24238
5.2323057651519775	24	15.9047619048	5.86004573825	37.0	9.0	15.9047619048	5.86004573825	1002	25240
5.426879167556763	25	14.7352941176	5.06318211689	37.0	8.0	14.7352941176	5.06318211689	1002	26242
5.622782945632935	26	15.0149253731	6.08764968816	39.0	8.0	15.0149253731	6.08764968816	1006	27248
5.81828236579895	27	14.4285714286	4.75566257535	30.0	8.0	14.4285714286	4.75566257535	1010	28258
6.012855529785156	28	14.6086956522	4.35130295763	28.0	8.0	14.6086956522	4.35130295763	1008	29266
6.205428600311279	29	14.1126760563	6.30123908176	42.0	8.0	14.1126760563	6.30123908176	1002	30268
6.400394439697266	30	14.3285714286	5.17334218738	32.0	9.0	14.3285714286	5.17334218738	1003	31271
6.596622467041016	31	14.8823529412	5.17496635898	32.0	8.0	14.8823529412	5.17496635898	1012	32283
6.791942119598389	32	13.5810810811	4.82954521041	41.0	8.0	13.5810810811	4.82954521041	1005	33288
6.983628273010254	33	14.1126760563	4.32662668514	31.0	8.0	14.1126760563	4.32662668514	1002	34290
7.179702043533325	34	12.9871794872	4.15560662283	32.0	8.0	12.9871794872	4.15560662283	1013	35303
7.375983238220215	35	13.0649350649	3.94223768725	28.0	8.0	13.0649350649	3.94223768725	1006	36309
7.577228307723999	36	14.5285714286	5.94671921212	35.0	9.0	14.5285714286	5.94671921212	1017	37326
7.77330207824707	37	14.0985915493	5.35277979534	33.0	8.0	14.0985915493	5.35277979534	1001	38327
7.969876050949097	38	12.5925925926	3.93709104175	26.0	8.0	12.5925925926	3.93709104175	1020	39347
8.163448810577393	39	13.025974026	4.12144857265	27.0	8.0	13.025974026	4.12144857265	1003	40350
8.360794067382812	40	12.8227848101	4.74877597466	29.0	8.0	12.8227848101	4.74877597466	1013	41363
8.55629014968872	41	13.1842105263	3.97925715864	28.0	9.0	13.1842105263	3.97925715864	1002	42365
8.751452445983887	42	12.7594936709	4.89953547236	32.0	8.0	12.7594936709	4.89953547236	1008	43373
8.946835041046143	43	13.2105263158	4.83222676542	34.0	8.0	13.2105263158	4.83222676542	1004	44377
9.140407800674438	44	12.3827160494	3.15276833571	25.0	8.0	12.3827160494	3.15276833571	1003	45380
9.33614468574524	45	12.6125	4.02645548218	27.0	8.0	12.6125	4.02645548218	1009	46389
9.531219005584717	46	12.3580246914	4.00711910299	30.0	8.0	12.3580246914	4.00711910299	1001	47390
9.726470470428467	47	12.1204819277	2.96321866017	23.0	8.0	12.1204819277	2.96321866017	1006	48396
9.923731803894043	48	12.75	3.9417635647	30.0	8.0	12.75	3.9417635647	1020	49416
10.119995355606079	49	12.0	3.30583899012	25.0	8.0	12.0	3.30583899012	1008	50424
