Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
1.6536223888397217	0	15.2954545455	3.33198147518	32.0	11.0	15.2954545455	3.33198147518	2019	2019
2.3566782474517822	1	15.2900763359	3.00505566274	29.0	11.0	15.2900763359	3.00505566274	2003	4022
3.05544114112854	2	15.3636363636	3.72801175231	32.0	11.0	15.3636363636	3.72801175231	2028	6050
3.7527036666870117	3	14.6231884058	2.65723758313	24.0	11.0	14.6231884058	2.65723758313	2018	8068
4.444842338562012	4	14.5869565217	2.79940019681	24.0	11.0	14.5869565217	2.79940019681	2013	10081
5.137603759765625	5	14.4676258993	3.20364486278	29.0	11.0	14.4676258993	3.20364486278	2011	12092
5.8354151248931885	6	14.1985815603	3.00406310705	24.0	10.0	14.1985815603	3.00406310705	2002	14094
6.535621881484985	7	13.5878378378	3.02004352495	26.0	10.0	13.5878378378	3.02004352495	2011	16105
7.238896608352661	8	13.1045751634	2.84263386724	24.0	10.0	13.1045751634	2.84263386724	2005	18110
